ID,GICS Sector,Partial Errors
0167866D US Equity,Energy,
0202445Q US Equity,"Consumer, Non-cyclical",
0203524D US Equity,Technology,
0226226D US Equity,"Consumer, Cyclical",
0334249Q CN Equity,Technology,
0536271D US Equity,Energy,
0574018D US Equity,Financial,
0609237D CN Equity,Financial,
0611568D CN Equity,Energy,
0616503D SS Equity,Financial,
0772031D US Equity,Communications,
0848680D US Equity,Communications,
0860320D US Equity,"Consumer, Non-cyclical",
0867887D US Equity,Communications,
0910150D US Equity,"Consumer, Cyclical",
0945329D US Equity,"Consumer, Non-cyclical",
0948146D CN Equity,Basic Materials,
0961514D US Equity,Utilities,
0964591D US Equity,"Consumer, Non-cyclical",
1 HK Equity,"Consumer, Non-cyclical",
10 HK Equity,Financial,
101 HK Equity,Financial,
1023761D US Equity,Financial,
1031 HK Equity,Financial,
1038 HK Equity,Industrial,
1044 HK Equity,"Consumer, Non-cyclical",
1051237D CN Equity,Energy,
1086832D US Equity,Energy,
11 HK Equity,Financial,
1113 HK Equity,Financial,
1128 HK Equity,"Consumer, Cyclical",
1169 HK Equity,"Consumer, Cyclical",
1177 HK Equity,"Consumer, Non-cyclical",
12 HK Equity,Financial,
1212 HK Equity,"Consumer, Cyclical",
1235274D US Equity,Utilities,
1249772D HK Equity,Financial,
1255173D US Equity,Financial,
1255459D US Equity,"Consumer, Non-cyclical",
127 HK Equity,Financial,
1280712D US Equity,Technology,
1284849D US Equity,"Consumer, Non-cyclical",
1284913D CN Equity,"Consumer, Cyclical",
1299 HK Equity,Financial,
1308 HK Equity,Industrial,
1317355D US Equity,Technology,
1374430D CN Equity,Energy,
1396924D US Equity,Communications,
1396926D US Equity,Communications,
14 HK Equity,Financial,
1413620D CN Equity,Basic Materials,
142 HK Equity,"Consumer, Non-cyclical",
1426897D CN Equity,Basic Materials,
1431816D US Equity,Technology,
1436513D US Equity,Industrial,
1448062D US Equity,Communications,
1456070D NZ Equity,Utilities,
1469138D US Equity,"Consumer, Non-cyclical",
147 HK Equity,Financial,
148 HK Equity,Basic Materials,
1498499D US Equity,Financial,
1500785D US Equity,Utilities,
1518855D US Equity,Communications,
1520415D US Equity,Financial,
1524867D US Equity,Energy,
1539941D US Equity,Energy,
1541931D US Equity,Technology,
1551989D US Equity,Technology,
1566019D US Equity,"Consumer, Non-cyclical",
1572241D SM Equity,Financial,
1583949D AU Equity,Energy,
16 HK Equity,Financial,
1605 JP Equity,Energy,
1621134D US Equity,Financial,
1626714D US Equity,Financial,
1643322D NO Equity,Energy,
1649858D US Equity,Financial,
1654539D US Equity,Communications,
1655637D LN Equity,Financial,
1662 JP Equity,Energy,
1664784D US Equity,"Consumer, Non-cyclical",
1680 HK Equity,"Consumer, Cyclical",
1683997D US Equity,Technology,
1684442D US Equity,Industrial,
1688445D FP Equity,"Consumer, Non-cyclical",
1691 HK Equity,"Consumer, Cyclical",
1694944D CN Equity,Basic Materials,
17 HK Equity,Financial,
1702253D US Equity,"Consumer, Non-cyclical",
1709305D CN Equity,Energy,
1715651D US Equity,Basic Materials,
1731877D US Equity,Basic Materials,
175 HK Equity,"Consumer, Cyclical",
1752754D US Equity,"Consumer, Non-cyclical",
1760018D HK Equity,Financial,
1773029D AU Equity,Industrial,
1801 JP Equity,Industrial,
1802 JP Equity,Industrial,
1803 JP Equity,Industrial,
1806854D US Equity,Technology,
1808 JP Equity,"Consumer, Cyclical",
1810430D US Equity,Energy,
1811045D US Equity,"Consumer, Non-cyclical",
1812 JP Equity,Industrial,
1812209D US Equity,Communications,
1812574D AU Equity,"Consumer, Non-cyclical",
1813626D US Equity,Industrial,
1816375D US Equity,"Consumer, Cyclical",
1816878D LN Equity,Utilities,
1821 HK Equity,Financial,
1831877D US Equity,Financial,
1837977D LN Equity,"Consumer, Cyclical",
1841189D US Equity,Communications,
1849099D SM Equity,Utilities,
1850925D US Equity,"Consumer, Non-cyclical",
1856607D IM Equity,"Consumer, Non-cyclical",
1856613D US Equity,Basic Materials,
1858968D US Equity,"Consumer, Non-cyclical",
1861468D CN Equity,Basic Materials,
1874365D AU Equity,Basic Materials,
1876 HK Equity,"Consumer, Non-cyclical",
1878 JP Equity,Financial,
1878384D US Equity,"Consumer, Non-cyclical",
1878423D CN Equity,Financial,
1885807D US Equity,Technology,
1888 HK Equity,Basic Materials,
1892122D US Equity,Basic Materials,
1893675D US Equity,Basic Materials,
1896850D HK Equity,Diversified,
1897377D US Equity,Communications,
19 HK Equity,Financial,
1910 HK Equity,"Consumer, Cyclical",
1910802D US Equity,Communications,
1916526D US Equity,Financial,
1918938D US Equity,"Consumer, Non-cyclical",
